dataset,algorithm,n,avg_microseconds,avg_char_comparisons,sorted
reversed,string_merge_sort_lcp,2300,1968.22,9176.00,true
reversed,msd_radix_sort,2300,162.74,11134.00,true
reversed,msd_radix_sort_with_cutoff,2300,41.69,13129.00,true
reversed,quick_sort,2400,135.12,35158.00,true
reversed,merge_sort,2400,78.26,22127.00,true
reversed,ternary_string_quick_sort,2400,57.07,22343.00,true
reversed,string_merge_sort_lcp,2400,2069.38,9546.00,true
reversed,msd_radix_sort,2400,171.01,11622.00,true
reversed,msd_radix_sort_with_cutoff,2400,43.98,13708.00,true
reversed,quick_sort,2500,143.15,36752.00,true
reversed,merge_sort,2500,82.17,23107.00,true
reversed,ternary_string_quick_sort,2500,61.06,23365.00,true
reversed,string_merge_sort_lcp,2500,2168.45,9911.00,true
reversed,msd_radix_sort,2500,178.85,12118.00,true
reversed,msd_radix_sort_with_cutoff,2500,45.39,14267.00,true
reversed,quick_sort,2600,148.83,38638.00,true
reversed,merge_sort,2600,85.41,24202.00,true
reversed,ternary_string_quick_sort,2600,63.32,24549.00,true
reversed,string_merge_sort_lcp,2600,2263.66,10393.00,true
reversed,msd_radix_sort,2600,184.62,12586.00,true
reversed,msd_radix_sort_with_cutoff,2600,47.29,14859.00,true
reversed,quick_sort,2700,157.32,40958.00,true
reversed,merge_sort,2700,90.57,25409.00,true
reversed,ternary_string_quick_sort,2700,65.91,25548.00,true
reversed,string_merge_sort_lcp,2700,2345.31,10955.00,true
reversed,msd_radix_sort,2700,193.05,13092.00,true
reversed,msd_radix_sort_with_cutoff,2700,49.24,15404.00,true
reversed,quick_sort,2800,170.08,42773.00,true
reversed,merge_sort,2800,94.38,26313.00,true
reversed,ternary_string_quick_sort,2800,69.57,26776.00,true
reversed,string_merge_sort_lcp,2800,2447.55,11213.00,true
reversed,msd_radix_sort,2800,201.94,13596.00,true
reversed,msd_radix_sort_with_cutoff,2800,51.45,15981.00,true
reversed,quick_sort,2900,168.29,44205.00,true
reversed,merge_sort,2900,97.97,27275.00,true
reversed,ternary_string_quick_sort,2900,71.57,27612.00,true
reversed,string_merge_sort_lcp,2900,2510.90,11631.00,true
reversed,msd_radix_sort,2900,207.00,14088.00,true
